song_id,bpm,energy,danceability,db,liveness,valence,length,acousticness,speechiness,popularity
529,120,26,42,-7,13,33,270,92,3,86
530,151,95,58,-4,4,78,269,2,6,40
531,145,56,60,-7,5,33,207,0,6,47
532,170,75,45,-6,18,42,243,17,6,35
533,75,55,48,-7,10,24,253,37,7,76
534,116,81,73,-7,6,25,232,3,8,55
535,78,40,57,-11,8,30,266,74,3,49
536,114,93,41,-5,60,39,163,34,10,32
537,127,72,68,-6,27,57,214,8,4,70
538,174,28,36,-12,38,20,174,54,4,59
539,116,81,79,-9,10,86,248,4,4,77
540,86,41,21,-10,8,16,306,17,4,72
541,128,79,57,-4,9,30,148,5,5,69
542,128,87,68,-6,37,4,304,0,4,65
543,108,88,54,-5,3,25,282,2,3,48
544,144,40,56,-8,11,46,209,66,3,36
545,127,33,79,-13,19,53,231,60,6,67
546,110,85,78,-4,12,62,250,5,7,75
547,77,51,57,-7,9,51,484,23,5,77
548,121,66,60,-6,12,29,245,23,5,80
549,85,43,67,-10,13,34,190,12,12,79
550,110,64,70,-9,28,65,211,22,17,53
551,81,76,50,-5,26,61,208,9,3,33
552,148,84,52,-7,20,86,213,1,6,28
553,117,78,52,-4,11,90,236,0,4,66
554,108,87,74,-3,27,59,225,3,4,62
555,142,96,46,-4,28,40,238,7,6,26
556,131,22,46,-10,11,15,243,90,3,41
557,146,58,47,-7,25,37,183,51,3,49
558,134,92,59,-5,27,63,241,6,6,48
559,120,60,85,-5,8,84,264,0,4,76
560,99,68,62,-8,16,53,240,11,3,30
561,140,63,39,-7,11,32,373,24,3,49
562,125,64,55,-7,22,15,268,1,3,78
563,105,76,73,-5,6,54,228,13,3,61
564,168,77,38,-6,27,42,185,0,4,57
565,79,45,78,-6,18,59,282,47,3,84
566,129,66,57,-5,12,44,242,63,5,77
567,83,58,27,-9,37,65,198,50,4,40
568,93,41,67,-12,11,36,215,65,5,60
569,140,95,58,-9,47,30,456,0,4,65
570,126,81,64,-6,7,72,177,8,3,59
571,80,37,56,-10,9,28,182,93,4,27
572,160,82,65,-5,9,96,233,22,18,80
573,116,39,69,-11,12,38,213,49,3,52
574,148,70,49,-8,8,62,209,4,4,52
575,134,71,33,-7,13,19,532,31,3,60
576,93,48,74,-9,11,36,285,3,4,73
577,108,38,61,-10,10,20,259,61,5,84
578,152,86,46,-6,10,37,289,0,7,47
579,102,73,48,-5,21,43,215,3,3,64
580,135,72,76,-8,95,51,280,5,24,47
581,130,70,76,-9,4,30,268,7,4,42
582,162,82,46,-6,16,47,299,1,4,65
583,139,88,64,-4,36,74,242,8,3,70
584,94,34,38,-11,8,8,217,9,3,39
585,97,74,66,-7,33,74,161,24,14,43
586,114,34,44,-11,10,8,266,4,3,65
587,146,69,59,-7,10,19,212,72,8,43
588,111,64,62,-7,52,65,159,21,3,58
589,92,88,66,-3,69,77,348,3,9,41
590,167,89,49,-4,7,64,245,0,4,75
591,84,42,42,-6,11,18,173,59,4,84
592,160,80,65,-5,33,94,219,6,17,66
593,175,52,48,-12,9,10,311,33,4,63
594,156,87,37,-5,8,22,308,1,4,59
595,122,71,66,-5,12,48,258,7,4,74
596,130,44,72,-9,9,32,243,58,3,72
597,94,54,79,-7,20,89,215,9,5,49
598,116,78,65,-7,10,63,203,13,4,49
